Date,Close
4/23/18 0:00,110.93
4/24/18 0:00,110.41
4/25/18 0:00,109.99
4/26/18 0:00,110.1
4/27/18 0:00,109.4
4/30/18 0:00,108.78
5/1/18 0:00,108.78
5/2/18 0:00,107.92
5/3/18 0:00,107.24
5/4/18 0:00,108.43
5/7/18 0:00,109.37
5/8/18 0:00,110.99
5/9/18 0:00,113.41
5/10/18 0:00,114.29
5/11/18 0:00,113.86
5/14/18 0:00,113.9
5/15/18 0:00,113.03
5/16/18 0:00,113.34
5/17/18 0:00,112.96
5/18/18 0:00,111.13
5/21/18 0:00,112.15
5/22/18 0:00,113.01
5/23/18 0:00,112.49
5/24/18 0:00,111.23
5/25/18 0:00,110.66
5/29/18 0:00,105.93
5/30/18 0:00,108.35
5/31/18 0:00,107.01
6/1/18 0:00,108.4
6/4/18 0:00,108.45
6/5/18 0:00,107.84
6/6/18 0:00,110.36
6/7/18 0:00,110.8
6/8/18 0:00,111.11
6/11/18 0:00,110.83
6/12/18 0:00,110.19
6/13/18 0:00,109.97
6/14/18 0:00,108.03
6/15/18 0:00,107.9
6/18/18 0:00,108.18
6/19/18 0:00,107.55
6/20/18 0:00,107.54
6/21/18 0:00,107.51
6/22/18 0:00,105.75
6/25/18 0:00,104.79
6/26/18 0:00,104.86
6/27/18 0:00,103.24
6/28/18 0:00,104.93
6/29/18 0:00,104.2
7/2/18 0:00,105.08
7/3/18 13:00,103.61
7/5/18 0:00,103.72
7/6/18 0:00,104.06
7/9/18 0:00,107.28
7/10/18 0:00,106.62
7/11/18 0:00,106.39
7/12/18 0:00,106.85
7/13/18 0:00,106.36
7/16/18 0:00,110.58
7/17/18 0:00,110.5
7/18/18 0:00,111.53
7/19/18 0:00,109.89
7/20/18 0:00,111.28
7/23/18 0:00,113.35
7/24/18 0:00,114.15
7/25/18 0:00,115.18
7/26/18 0:00,114.85
7/27/18 0:00,116.03
7/30/18 0:00,116.73
7/31/18 0:00,114.95
8/1/18 0:00,115.66
8/2/18 0:00,116.15
8/3/18 0:00,117.09
8/6/18 0:00,117.12
8/7/18 0:00,117.55
8/8/18 0:00,117.79
8/9/18 0:00,116.88
8/10/18 0:00,115.73
8/13/18 0:00,113.89
8/14/18 0:00,114.65
8/15/18 0:00,113.7
8/16/18 0:00,114.77
8/17/18 0:00,114.77
8/20/18 0:00,114.62
8/21/18 0:00,115.32
8/22/18 0:00,114.97
8/23/18 0:00,114.73
8/24/18 0:00,114.68
8/27/18 0:00,116.71
8/28/18 0:00,116.14
8/29/18 0:00,115.76
8/30/18 0:00,115.19
8/31/18 0:00,114.58
9/4/18 0:00,115.15
9/5/18 0:00,114.59
9/6/18 0:00,114.1
9/7/18 0:00,114.32
9/10/18 0:00,113.71
9/11/18 0:00,114.43
9/12/18 0:00,113.08
9/13/18 0:00,113.52
9/14/18 0:00,113.5
9/17/18 0:00,113.84
9/18/18 0:00,114.3
9/19/18 0:00,117.62
9/20/18 0:00,118.63
9/21/18 0:00,117.85
9/24/18 0:00,116.72
9/25/18 0:00,116.39
9/26/18 0:00,115.02
9/27/18 0:00,114.52
9/28/18 0:00,112.84
10/1/18 0:00,113.5
10/2/18 0:00,113.97
10/3/18 0:00,115.04
10/4/18 0:00,115.27
10/5/18 0:00,114.62
10/8/18 0:00,115.32
10/9/18 0:00,114.52
10/10/18 0:00,111.47
10/11/18 0:00,108.13
10/12/18 0:00,106.95
10/15/18 0:00,106.34
10/16/18 0:00,108.62
10/17/18 0:00,109.83
10/18/18 0:00,108.09
10/19/18 0:00,107.91
10/22/18 0:00,106.36
10/23/18 0:00,105.25
10/24/18 0:00,103.29
10/25/18 0:00,104.86
10/26/18 0:00,103.42
10/29/18 0:00,104.85
10/30/18 0:00,106.7
10/31/18 0:00,109.02
11/1/18 0:00,108.98
11/2/18 0:00,108.38
11/5/18 0:00,109.09
11/6/18 0:00,109.6
11/7/18 0:00,111.48
11/8/18 0:00,112.38
11/9/18 0:00,111.29
11/12/18 0:00,108.95
11/13/18 0:00,109.59
11/14/18 0:00,107.33
11/15/18 0:00,110.07
11/16/18 0:00,109.99
11/19/18 0:00,110.83
11/20/18 0:00,108.45
11/21/18 0:00,107.64
11/23/18 13:00,106.65
11/26/18 0:00,109.26
11/27/18 0:00,109.72
